"","business_id","name","address","city","state","latitude","longitude","stars","is_open","RestaurantsAttire","RestaurantsTakeOut","BusinessAcceptsCreditCards","NoiseLevel","GoodForKids","RestaurantsReservations","RestaurantsGoodForGroups","RestaurantsPriceRange2","HasTV","Alcohol","BikeParking","RestaurantsDelivery","OutdoorSeating","Caters","WiFi","dessert","latenight","lunch","dinner","brunch","breakfast","garage","street","validated","lot","valet","romantic","intimate","classy","hipster","divey","touristy","trendy","upscale","casual","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday"
"9","ZkzutF0P_u0C0yTulwaHkA","Lelulos Pizzeria","311 Unity Center Rd","Plum","PA",40.4899958,-79.7792879,4,1,"1","True","True","1","True","True","True","1","True","1","True","True","False",NA,"1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","0:0-0:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-22:0","11:0-22:0","11:0-20:0"
"17","39lLJK_rrYY2NYomSsQdUA","Marco's Pizza","24335 Chagrin Blvd","Beachwood","OH",41.4657893,-81.5063487,2.5,1,"1","True","True","1","True","False","False","2",NA,NA,NA,"True",NA,NA,"1","False","False","False","False","False","False","NA","NA","NA","NA","NA","False","False","False","False","False","False","False","False","False",NA,NA,NA,NA,NA,NA,NA
"18","0y6alZmSLnPzmG5_kP5Quw","J J's Pizza","20542 Lorain Rd","Fairview Park","OH",41.4483412,-81.847644,4.5,1,"1","True","True","1","True","False","True","1","True","1","True","True","False","True","1","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","11:0-21:0","11:0-21:0","11:0-21:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-21:0"
"54","_Kp1IPTi17wBywYOd30raA","Pizza Hut","8609 University Blvd","Coraopolis","PA",40.507268,-80.222632,2,1,"1","True","True","1","True","False","True","1","True","2",NA,"True","False","False","1","False","False","False","False","False","False","False","False","False","True","False","False","False","True","False","False","False","False","False","False","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-0:0","11:0-0:0","11:0-23:0"
"55","1YC7AbQMlNb5mLUlwwaa3w","Bites and Brews","5750 Ellsworth Ave","Pittsburgh","PA",40.4556962,-79.9308834,3.5,0,"1","True","True","2","False","True","True","2","True","3","True","True","True","True","2","NA","NA","NA","NA","NA","NA","False","True","False","False","False","False","False","False","False","False","False","False","False","True","16:0-23:0","16:0-23:0","16:0-23:0","16:0-23:0","16:0-0:0","16:0-0:0",NA
"73","crBw_Hq3gCkppirgjnIl4A","Famous Yeti's Pizza","971 N Page St","Stoughton","WI",42.9265263,-89.222592,4.5,1,"1","True","True","2","True","False","True","2","True","2","True","True","False","True","2","False","False","True","True","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","True","11:0-21:30","11:0-21:30","11:0-21:30","11:0-21:30","11:0-22:30","15:0-22:30","11:0-21:0"
"100","cPNolx5Ae2znDZNA7GG5BQ","Little Caesars Pizza","9315 State Rte 14","Streetsboro","OH",41.2390005,-81.3475472,3.5,1,NA,"True",NA,NA,"True","False",NA,"1",NA,NA,NA,"True",NA,NA,NA,"NA","NA","NA","NA","NA","NA","False","False","False","True","False","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA,NA,NA,NA,NA
"103","7LzhLKAwS7PHUvaPIW833A","Dominic's Santos","21467 Lorain Rd","Cleveland","OH",41.4436519,-81.8581755,3.5,1,"1","True","True","2","True","True","True","2","True","2","True","False","True","True","1","False","False","False","True","False","False","False","False","False","True","False","False","False","True","False","False","False","False","False","True",NA,NA,NA,NA,NA,NA,NA
"112","ijNQXC2cBhbkf6iB6D8OJw","Genoa Pizza & Bar","111 Market St","Pittsburgh","PA",40.4388711,-80.0038533,3,1,"1","True","True","2","True","True","True","2","True","3","True","True","False","True","2","False","False","True","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","10:0-2:0","10:0-2:0","10:0-2:0","10:0-2:0","10:0-3:0","10:0-3:0","10:0-2:0"
"122","LTPcaw-_IqOfTSDxe8811A","Duke's Pub and Pizza","329 Castle Shannon Blvd","Pittsburgh","PA",40.3762608,-80.0367425,3,0,"1","True","True","2","True","True","True","2","True","3",NA,"False","False",NA,"2","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0"
