words,frequency,avgStar,avgStar_from_grandmean,sig2,type,BadReviewRate,BRR_from_grandmean,GoodReviewRate,GRR_from_grandmean,Sig1
parking,2089,3.848252753,0.211918753,No,Positive,0.06749641,-0.082174427,0.343705122,-0.048090718,No
seating,2321,3.849633779,0.213299779,No,Positive,0.060318828,-0.089352009,0.320982335,-0.070813505,No
table,10510,3.087630828,-0.548703172,Yes,Negative,0.216841104,0.067170267,0.206850618,-0.184945222,Yes
bar,10803,3.5363325,-0.1000015,No,Negative,0.125613256,-0.024057581,0.289271499,-0.102524342,No
fast,3120,4.01474359,0.37840959,No,Positive,0.059615385,-0.090055452,0.441025641,0.049229801,Yes
bartender,2425,3.161649485,-0.474684515,No,Negative,0.229278351,0.079607514,0.269690722,-0.122105119,Yes
busy,4001,3.267933017,-0.368400983,No,Negative,0.189202699,0.039531862,0.250437391,-0.14135845,Yes
delivery,8075,3.036408669,-0.599925331,Yes,Negative,0.287306502,0.137635665,0.252012384,-0.139783456,Yes
late,2502,3.28177458,-0.35455942,No,Negative,0.207034373,0.057363536,0.271382894,-0.120412947,Yes
attentive,2119,4.135913167,0.499579167,No,Positive,0.024067957,-0.12560288,0.457291175,0.065495335,Yes
price,9225,3.644336043,0.008002043,No,Positive,0.090948509,-0.058722328,0.32401084,-0.067785,No
friendly,9658,4.23503831,0.59870431,Yes,Positive,0.028784427,-0.12088641,0.522157797,0.130361956,Yes
little,11690,3.701710864,0.065376864,No,Positive,0.071941831,-0.077729006,0.28075278,-0.11104306,No
super,4341,4.0414651,0.4051311,No,Positive,0.059663672,-0.090007165,0.472932504,0.081136664,Yes
huge,3907,3.937803942,0.301469942,No,Positive,0.063987714,-0.085683123,0.390581008,-0.001214832,No
large,6605,3.599394398,-0.036939602,No,Negative,0.114912945,-0.034757892,0.304314913,-0.087480927,No
small,6879,3.56505306,-0.07128094,No,Negative,0.109608955,-0.040061882,0.292920483,-0.098875358,No
enough,5068,3.590765588,-0.045568412,No,Negative,0.121152328,-0.028518509,0.33109708,-0.060698761,No
hoagie,2052,3.418615984,-0.217718016,No,Negative,0.169590643,0.019919806,0.312378168,-0.079417673,Yes
big,4516,3.690876882,0.054542882,No,Positive,0.095217006,-0.054453831,0.320859167,-0.070936673,No
game,2326,3.682717111,0.046383111,No,Positive,0.10533104,-0.044339797,0.337059329,-0.054736511,No
atmosphere,5345,4.068101029,0.431767029,No,Positive,0.037231057,-0.11243978,0.4505145,0.058718659,Yes
party,2981,3.292519289,-0.343814711,No,Negative,0.21402214,0.064351303,0.310634015,-0.081161825,Yes
quick,3122,3.952594491,0.316260491,No,Positive,0.054772582,-0.094898255,0.391415759,-0.000380081,No
homemade,2417,4.239139429,0.602805429,Yes,Positive,0.029788995,-0.119881842,0.528754655,0.136958814,Yes
kid,3540,3.439265537,-0.197068463,No,Negative,0.164124294,0.014453457,0.305367232,-0.086428609,Yes
sweet,3441,3.920371985,0.284037985,No,Positive,0.056088346,-0.093582491,0.399593142,0.007797301,Yes
