words,frequency,avgStar,avgStar_from_grandmean,sig2,type
parking,2089,3.848252753,0.211918753,No,Positive
seating,2321,3.849633779,0.213299779,No,Positive
table,10510,3.087630828,-0.548703172,Yes,Negative
bar,10803,3.5363325,-0.1000015,No,Negative
fast,3120,4.01474359,0.37840959,No,Positive
bartender,2425,3.161649485,-0.474684515,No,Negative
busy,4001,3.267933017,-0.368400983,No,Negative
delivery,8075,3.036408669,-0.599925331,Yes,Negative
late,2502,3.28177458,-0.35455942,No,Negative
attentive,2119,4.135913167,0.499579167,No,Positive
price,9225,3.644336043,0.008002043,No,Positive
friendly,9658,4.23503831,0.59870431,Yes,Positive
little,11690,3.701710864,0.065376864,No,Positive
super,4341,4.0414651,0.4051311,No,Positive
huge,3907,3.937803942,0.301469942,No,Positive
large,6605,3.599394398,-0.036939602,No,Negative
small,6879,3.56505306,-0.07128094,No,Negative
enough,5068,3.590765588,-0.045568412,No,Negative
hoagie,2052,3.418615984,-0.217718016,No,Negative
big,4516,3.690876882,0.054542882,No,Positive
game,2326,3.682717111,0.046383111,No,Positive
atmosphere,5345,4.068101029,0.431767029,No,Positive
party,2981,3.292519289,-0.343814711,No,Negative
quick,3122,3.952594491,0.316260491,No,Positive
homemade,2417,4.239139429,0.602805429,Yes,Positive
kid,3540,3.439265537,-0.197068463,No,Negative
sweet,3441,3.920371985,0.284037985,No,Positive
waited,2540,2.208267717,-1.428066283,Yes,Negative
decent,3301,3.138745835,-0.497588165,No,Negative
employee,2155,2.60324826,-1.03308574,Yes,Negative
quality,5380,3.585873606,-0.050460394,No,Negative
burger,4705,3.680552604,0.044218604,No,Positive
rude,2146,1.561043802,-2.075290198,Yes,Negative
drink,8622,3.350382742,-0.285951258,No,Negative
wine,4431,3.917400135,0.281066135,No,Positive
pizza,113385,3.642756978,0.006422978,No,Positive
dessert,2861,3.930094373,0.293760373,No,Positive
side,6671,3.606805576,-0.029528424,No,Negative
soup,2587,3.562040974,-0.074293026,No,Negative
meat,4046,3.510133465,-0.126200535,No,Negative
topping,8370,3.667622461,0.031288461,No,Positive
beer,10432,3.787001534,0.150667534,No,Positive
cheese,18704,3.575973054,-0.060360946,No,Negative
appetizer,3808,3.611869748,-0.024464252,No,Negative
pasta,6365,3.612254517,-0.024079483,No,Negative
salad,14915,3.58994301,-0.04639099,No,Negative
chicken,10985,3.558488848,-0.077845152,No,Negative
bacon,2509,3.862495018,0.226161018,No,Positive
bread,7754,3.515862781,-0.120471219,No,Negative
sandwich,5946,3.597544568,-0.038789432,No,Negative
buffalo,2146,3.709692451,0.073358451,No,Positive
meatball,4612,3.845836947,0.209502947,No,Positive
dough,3210,3.481931464,-0.154402536,No,Negative
mushroom,3498,3.640080046,0.003746046,No,Positive
sausage,4158,3.778980279,0.142646279,No,Positive
pie,5928,3.965418354,0.329084354,No,Positive
crust,15107,3.809426094,0.173092094,No,Positive
dressing,2683,3.522176668,-0.114157332,No,Negative
tomato,4000,3.617,-0.019334,No,Negative
mozzarella,2179,3.9279486,0.2916146,No,Positive
pepperoni,5964,3.697350771,0.061016771,No,Positive
garlic,4061,3.680128047,0.043794047,No,Positive
onion,2750,3.587636364,-0.048697636,No,Negative
pepper,3506,3.701369082,0.065035082,No,Positive
olive,2165,3.73256351,0.09622951,No,Positive
fry,5473,3.483829709,-0.152504291,No,Negative
italian,8730,3.903321879,0.266987879,No,Positive
sauce,19099,3.601340384,-0.034993616,No,Negative
crispy,3092,4.028137128,0.391803128,No,Positive
fresh,9871,4.181744504,0.545410504,Yes,Positive
fried,2273,3.747910251,0.111576251,No,Positive
spicy,2082,3.984149856,0.347815856,No,Positive
cold,3608,2.433203991,-1.203130009,Yes,Negative
greasy,2095,3.250119332,-0.386214668,No,Negative
thin,4800,3.825416667,0.189082667,No,Positive
great,33372,4.21700827,0.58067427,Yes,Positive
good,45751,3.703460034,0.067126034,No,Positive
recommend,6304,4.066148477,0.429814477,No,Positive
like,25595,3.333776128,-0.302557872,No,Negative
amazing,8178,4.525434091,0.889100091,Yes,Positive
perfect,5002,4.483806477,0.847472477,Yes,Positive
favorite,7559,4.394761212,0.758427212,Yes,Positive
happy,4076,3.913395486,0.277061486,No,Positive
nice,13120,3.861966463,0.225632463,No,Positive
special,5996,3.694796531,0.058462531,No,Positive
awesome,5095,4.41373896,0.77740496,Yes,Positive
enjoyed,3491,4.040103122,0.403769122,No,Positive
delicious,12870,4.41017871,0.77384471,Yes,Positive
love,12249,4.245489428,0.609155428,Yes,Positive
tasty,4894,3.999795668,0.363461668,No,Positive
cool,2161,3.842202684,0.205868684,No,Positive
enjoy,2830,3.849116608,0.212782608,No,Positive
fantastic,3347,4.474155961,0.837821961,Yes,Positive
fun,2157,4.104311544,0.467977544,No,Positive
excellent,5642,4.408011343,0.771677343,Yes,Positive
bad,6348,2.765595463,-0.870738537,Yes,Negative
disappointed,3782,3.160232681,-0.476101319,No,Negative
perfectly,2201,4.360290777,0.723956777,Yes,Positive
terrible,2205,1.690702948,-1.945631052,Yes,Negative
wonderful,2625,4.421333333,0.784999333,Yes,Positive
loved,3290,4.280851064,0.644517064,Yes,Positive
madison,2190,4.107762557,0.471428557,No,Positive
pittsburgh,4339,4.130905739,0.494571739,No,Positive
husband,3511,3.47336941,-0.16296459,No,Negative
cleveland,2580,4.241860465,0.605526465,Yes,Positive
wife,2983,3.453905464,-0.182428536,No,Negative
